index,HIV Testing,HIV Prep,total
Lebanon,126.0,20.0,146.0
Israel,249.0,36.0,285.0
Switzerland,4936.0,1816.0,6752.0
Andorra,6.0,,6.0
Malta,238.0,48.0,286.0
Vietnam,278.0,51.0,329.0
Fiji,88.0,6.0,94.0
Germany,2161.0,616.0,2777.0
Bermuda,91.0,,91.0
Zambia,2376.0,185.0,2561.0
Seychelles,47.0,9.0,56.0
Paraguay,17.0,5.0,22.0
Greenland,16.0,,16.0
Nepal,437.0,51.0,488.0
Russia,365.0,57.0,422.0
Sudan,103.0,7.0,110.0
Republic of Latvia,6.0,1.0,7.0
Tajikistan,5.0,1.0,6.0
Botswana,5807.0,224.0,6031.0
Senegal,89.0,15.0,104.0
Ghana,5729.0,295.0,6024.0
Netherlands Antilles,4.0,,4.0
Oman,97.0,3.0,100.0
Martinique,3.0,1.0,4.0
Algeria,92.0,15.0,107.0
Grenada,85.0,1.0,86.0
French Polynesia,28.0,2.0,30.0
Samoa,12.0,,12.0
Monaco,9.0,5.0,14.0
Azerbaijan,19.0,,19.0
Finland,310.0,53.0,363.0
Rwanda,956.0,88.0,1044.0
France,1946.0,669.0,2615.0
Moldova,49.0,15.0,64.0
Guadeloupe,35.0,1.0,36.0
United States,449489,116854.0,566343.0
Mauritius,32.0,11.0,43.0
Dominican Republic,199.0,23.0,222.0
United Kingdom,83195,25865.0,109060.0
Ethiopia,577.0,89.0,666.0
Hong Kong,411.0,67.0,478.0
Montenegro,30.0,1.0,31.0
Mongolia,46.0,11.0,57.0
Portugal,512.0,153.0,665.0
Jamaica,857.0,78.0,935.0
Republic of Lithuania,15.0,1.0,16.0
China,1127.0,68.0,1195.0
Bosnia and Herzegovina,29.0,2.0,31.0
Turkey,353.0,27.0,380.0
Denmark,590.0,78.0,668.0
Bulgaria,62.0,6.0,68.0
Nicaragua,37.0,9.0,46.0
Barbados,301.0,19.0,320.0
Haiti,186.0,11.0,197.0
Guyana,259.0,71.0,330.0
Vatican City,14.0,,14.0
Malawi,1220.0,50.0,1270.0
Qatar,210.0,5.0,215.0
Philippines,12095.0,1220.0,13315.0
Uruguay,23.0,8.0,31.0
Maldives,228.0,24.0,252.0
Estonia,202.0,75.0,277.0
Saudi Arabia,612.0,66.0,678.0
Palestinian Territories,2.0,,2.0
Bolivia,24.0,3.0,27.0
Iran,66.0,3.0,69.0
Canada,19371.0,5582.0,24953.0
Hungary,131.0,9.0,140.0
Kyrgyzstan,10.0,2.0,12.0
St. Lucia,98.0,6.0,104.0
Argentina,1027.0,233.0,1260.0
Angola,44.0,3.0,47.0
The Gambia,41.0,5.0,46.0
Djibouti,20.0,1.0,21.0
Malaysia,2752.0,541.0,3293.0
Namibia,1628.0,149.0,1777.0
Cayman Islands,91.0,2.0,93.0
Albania,14.0,9.0,23.0
Morocco,74.0,15.0,89.0
Ukraine,346.0,74.0,420.0
Antigua and Barbuda,72.0,6.0,78.0
Cuba,57.0,5.0,62.0
Uzbekistan,34.0,6.0,40.0
Peru,84.0,32.0,116.0
Costa Rica,96.0,19.0,115.0
Serbia,56.0,14.0,70.0
Myanmar,70.0,5.0,75.0
Romania,184.0,25.0,209.0
Guatemala,38.0,10.0,48.0
Tanzania,1574.0,156.0,1730.0
Saint Vincent and the Grenadines,9.0,,9.0
Benin,7.0,1.0,8.0
Armenia,123.0,15.0,138.0
Taiwan,171.0,33.0,204.0
New Zealand,536.0,113.0,649.0
Macau-China,14.0,5.0,19.0
Kuwait,105.0,8.0,113.0
Italy,1084.0,157.0,1241.0
Thailand,1582.0,431.0,2013.0
Brunei,59.0,1.0,60.0
Madagascar,140.0,7.0,147.0
Iceland,152.0,12.0,164.0
The Netherlands,888.0,264.0,1152.0
Cameroon,547.0,38.0,585.0
Trinidad and Tobago,667.0,53.0,720.0
Ecuador,110.0,19.0,129.0
Colombia,311.0,74.0,385.0
Zimbabwe,4698.0,482.0,5180.0
Honduras,37.0,1.0,38.0
Australia,7327.0,2384.0,9711.0
El Salvador,47.0,24.0,71.0
Norway,435.0,93.0,528.0
Ivory Coast,48.0,3.0,51.0
Pakistan,3187.0,317.0,3504.0
Afghanistan,41.0,5.0,46.0
Yemen,42.0,,42.0
Croatia,32.0,7.0,39.0
Democratic Republic of Congo,19.0,2.0,21.0
Macedonia,12.0,2.0,14.0
Cambodia,228.0,26.0,254.0
Somalia,82.0,2.0,84.0
South Georgia and the South Sandwich Islands,8.0,2.0,10.0
British Virgin Islands,24.0,1.0,25.0
Panama,109.0,50.0,159.0
Venezuela,559.0,227.0,786.0
Austria,1320.0,60.0,1380.0
Poland,255.0,66.0,321.0
Belarus,56.0,,56.0
Chile,221.0,59.0,280.0
Turkmenistan,27.0,4.0,31.0
Antarctica,100.0,3.0,103.0
South Korea,219.0,14.0,233.0
Swaziland,378.0,94.0,472.0
Cyprus,130.0,11.0,141.0
Ireland,4053.0,1737.0,5790.0
Greece,431.0,136.0,567.0
Luxembourg,92.0,15.0,107.0
Mozambique,70.0,2.0,72.0
Eritrea,19.0,,19.0
Reunion,6.0,1.0,7.0
Latvia,29.0,8.0,37.0
Kenya,20842.0,3954.0,24796.0
Aruba,11.0,1.0,12.0
Jordan,1981.0,291.0,2272.0
Libya,51.0,1.0,52.0
The Bahamas,500.0,32.0,532.0
North Korea,40.0,2.0,42.0
South Africa,40970,6159.0,47129.0
Uganda,13409.0,780.0,14189.0
Lesotho,409.0,68.0,477.0
Georgia,27300,4834.0,32134.0
Syria,21.0,1.0,22.0
Belgium,1080.0,258.0,1338.0
Spain,1729.0,293.0,2022.0
India,13930.0,1624.0,15554.0
Belize,52.0,7.0,59.0
Sri Lanka,416.0,95.0,511.0
United Arab Emirates,800.0,57.0,857.0
Egypt,512.0,59.0,571.0
Saint Kitts and Nevis,1.0,,1.0
Czech Republic,31.0,5.0,36.0
Singapore,2203.0,332.0,2535.0
Kazakhstan,279.0,45.0,324.0
Nigeria,51138.0,2248.0,53386.0
Iraq,85.0,5.0,90.0
Bangladesh,465.0,70.0,535.0
Turks and Caicos Islands,61.0,1.0,62.0
Christmas Island,5.0,,5.0
Mexico,781.0,256.0,1037.0
Japan,1217.0,246.0,1463.0
Slovakia,229.0,18.0,247.0
Lithuania,12.0,,12.0
Netherlands,1271.0,302.0,1573.0
Indonesia,3296.0,504.0,3800.0
Sweden,1490.0,337.0,1827.0
Bahrain,77.0,6.0,83.0
Sierra Leone,99.0,4.0,103.0
Cape Verde,116.0,,116.0
Suriname,20.0,2.0,22.0
Brazil,755.0,166.0,921.0
Papua New Guinea,65.0,41.0,106.0
Tunisia,2655.0,193.0,2848.0
Slovenia,41.0,3.0,44.0
Dominica,39.0,3.0,42.0
